,close,high,low,open,time,volumefrom,volumeto,timestamp
1225,8517.7,8579.8,8490.0,8561.0,1518562800,179.87,1533289.23,2018-02-14 08:00:00
1226,8597.1,8640.1,8517.7,8517.7,1518566400,116.15,997024.13,2018-02-14 09:00:00
1227,8650.3,8675.0,8587.5,8597.1,1518570000,142.83,1234054.19,2018-02-14 10:00:00
1228,8686.0,8747.5,8650.3,8650.3,1518573600,237.6,2069948.18,2018-02-14 11:00:00
1229,8708.1,8736.0,8640.1,8686.0,1518577200,152.68,1326695.37,2018-02-14 12:00:00
1230,8807.0,8850.4,8699.0,8708.1,1518580800,319.65,2812983.53,2018-02-14 13:00:00
1231,8839.3,8879.9,8755.0,8807.0,1518584400,143.34,1263990.28,2018-02-14 14:00:00
1232,8795.0,8877.3,8794.3,8839.3,1518588000,187.08,1653001.24,2018-02-14 15:00:00
1233,8900.0,8920.0,8782.4,8795.0,1518591600,360.63,3199839.43,2018-02-14 16:00:00
1234,8878.0,8920.0,8840.2,8920.0,1518595200,222.82,1978664.36,2018-02-14 17:00:00
1235,8806.2,8899.9,8798.9,8878.0,1518598800,154.07,1361935.23,2018-02-14 18:00:00
1236,8785.0,8850.0,8779.0,8806.2,1518602400,130.9,1155738.75,2018-02-14 19:00:00
1237,8940.7,8960.0,8779.3,8785.0,1518606000,230.71,2042980.02,2018-02-14 20:00:00
1238,9191.6,9250.7,8940.7,8940.7,1518609600,1070.04,9775675.6,2018-02-14 21:00:00
1239,9255.0,9322.5,9159.2,9191.6,1518613200,625.74,5791977.2,2018-02-14 22:00:00
1240,9183.1,9270.6,9150.1,9255.0,1518616800,464.54,4281184.38,2018-02-14 23:00:00
1241,9342.8,9370.7,9168.0,9183.1,1518620400,466.07,4317167.6,2018-02-15 00:00:00
1242,9272.0,9370.6,9225.9,9342.8,1518624000,547.73,5101426.14,2018-02-15 01:00:00
1243,9299.7,9346.2,9231.9,9272.0,1518627600,200.53,1861194.66,2018-02-15 02:00:00
1244,9309.4,9369.4,9247.1,9299.7,1518631200,368.92,3439367.42,2018-02-15 03:00:00
1245,9242.3,9311.2,9190.0,9309.4,1518634800,329.32,3040966.68,2018-02-15 04:00:00
1246,9300.0,9326.9,9211.0,9242.3,1518638400,127.52,1181845.29,2018-02-15 05:00:00
1247,9279.5,9329.9,9247.2,9300.0,1518642000,148.69,1381083.85,2018-02-15 06:00:00
1248,9449.2,9460.0,9250.7,9279.5,1518645600,464.75,4367067.62,2018-02-15 07:00:00
1249,9489.7,9520.6,9411.3,9449.2,1518649200,340.03,3221025.44,2018-02-15 08:00:00
1250,9376.3,9509.7,9330.1,9489.7,1518652800,321.75,3038444.85,2018-02-15 09:00:00
1251,9409.7,9479.7,9376.3,9376.3,1518656400,189.2,1783820.49,2018-02-15 10:00:00
1252,9662.9,9699.7,9402.0,9409.7,1518660000,401.63,3843992.07,2018-02-15 11:00:00
1253,9682.2,9745.0,9600.0,9662.9,1518663600,555.58,5376346.59,2018-02-15 12:00:00
1254,9760.1,9788.9,9645.2,9682.2,1518667200,269.72,2624348.43,2018-02-15 13:00:00
1255,9705.8,9777.6,9670.0,9760.1,1518670800,204.67,1989451.56,2018-02-15 14:00:00
1256,9751.5,9800.0,9705.5,9705.8,1518674400,314.53,3069786.69,2018-02-15 15:00:00
1257,9861.1,9875.0,9731.7,9751.5,1518678000,251.67,2466983.52,2018-02-15 16:00:00
1258,9897.4,9923.6,9810.9,9861.1,1518681600,374.3,3694876.17,2018-02-15 17:00:00
1259,9657.7,9989.7,9600.0,9897.4,1518685200,649.46,6400284.18,2018-02-15 18:00:00
1260,9687.4,9769.6,9490.0,9657.7,1518688800,647.43,6214742.26,2018-02-15 19:00:00
1261,9625.5,9780.8,9546.3,9687.4,1518692400,281.63,2726175.64,2018-02-15 20:00:00
